"","who","color","heading","xcor","ycor","district-prefs","my-cands-district"
"1","0","15","345","-0.894761469","0.674924903","[-0.8947614693294164 0.6749249029834302 7.3081615023228625]","{turtles 42360 43401}"
"2","1","15","185","-0.891682299","-0.38579226","[-0.8916822985381055 -0.3857922603871004 -1.0555957044498694]","{turtles 43172 43418}"
"3","2","105","341","5.699872985","-6.42876451","[5.6998729849105105 -6.428764509987445 1.3201429404645546]","{turtles 43043 43359}"
"4","3","105","79","-3.771064125","3.888812799","[-3.7710641247093415 3.888812798723954 1.7449694279532346]","{turtles 42595 43272}"
"5","4","15","224","-0.466537995","-11.53342337","[-0.466537994757735 -11.533423374506341 -2.3573145239957296]","{turtles 39322 43371}"
"6","5","15","96","11.65584357","0.171403289","[11.655843571424727 0.1714032885212717 5.429184202449618]","{turtles 42739 43379}"
"7","6","105","113","-1.532201068","-0.688369677","[-1.5322010681577358 -0.6883696767014584 -0.07570646947854008]","{turtles 42948 43286}"
"8","7","15","18","-7.610925026","-6.974176994","[-7.610925025535783 -6.974176994016373 0.9281251661781065]","{turtles 42287 43368}"
"9","8","105","121","-3.557015394","4.683004754","[-3.5570153938646945 4.683004754144056 0.9513451424925249]","{turtles 42680 43358}"
"10","9","105","79","0.771392513","-1.768409489","[0.7713925129159989 -1.7684094887251751 3.3277008217700774]","{turtles 42000 43276}"
"11","10","105","300","5.661386152","5.970219894","[5.661386152260255 5.970219894447828 -0.07251212389855283]","{turtles 43079 43352}"
"12","11","15","226","-6.728250571","-6.206900419","[-6.728250571388923 -6.206900418735178 1.849014401468465]","{turtles 43238 43490}"
"13","12","105","88","-5.783083228","-4.250190173","[-5.783083227913135 -4.250190172676326 5.180132243523043]","{turtles 42558 43333}"
"14","13","105","98","6.379257019","7.618339831","[6.379257018791134 7.61833983065146 -2.8606167444486235]","{turtles 43131 43360}"
"15","14","15","153","-9.69166943","-0.165445868","[-9.691669429745762 -0.1654458679766284 -0.9240694674971297]","{turtles 42888 43457}"
"16","15","105","322","-2.121745321","-1.066299921","[-2.1217453213035484 -1.0662999206264037 1.3974275216005443]","{turtles 43056 43320}"
"17","16","105","70","1.30037723","-2.287243157","[1.3003772301334369 -2.2872431568578406 -7.601391186677939]","{turtles 43343 43385}"
"18","17","15","331","-11.80020719","-1.54599848","[-11.800207191475314 -1.5459984803308797 4.74176292685246]","{turtles 43173 43391}"
"19","18","15","25","4.739993546","-3.264828403","[4.739993545833088 -3.2648284027258287 -2.4751749479652694]","{turtles 40151 43435}"
"20","19","15","274","4.931634675","-9.695240794","[4.931634675227191 -9.69524079364143 -8.904700905453538]","{turtles 42111 43429}"
"21","20","15","90","4.826607907","3.336976829","[4.826607906832131 3.336976829363632 3.7022769526340884]","{turtles 43335 43461}"
"22","21","15","196","0.743562632","-7.409791447","[0.7435626320946662 -7.409791446607982 -0.5451748845143599]","{turtles 42420 43395}"
"23","22","15","243","0.451086795","-7.369275155","[0.45108679477811714 -7.369275154961193 7.258478044014445]","{turtles 42458 43419}"
"24","23","105","115","-6.107920001","10.28405891","[-6.107920000926334 10.284058910919976 -8.379078549921037]","{turtles 41782 43350}"
"25","24","15","111","2.751428769","-2.986358473","[2.7514287687498418 -2.9863584729240227 8.623671523408916]","{turtles 42861 43444}"
"26","25","15","108","5.246342311","7.561599962","[5.24634231103934 7.56159996162354 -4.421611773642602]","{turtles 42833 43465}"
"27","26","105","346","2.210445323","2.524510173","[2.210445322712051 2.524510172954837 2.9790482357965473]","{turtles 43300 43427}"
"28","27","15","217","-2.94347857","0.17849787","[-2.9434785696987538 0.17849786980494883 3.2479843353781677]","{turtles 42928 43414}"
"29","28","105","265","-4.773430145","3.533870891","[-4.773430144804127 3.533870891068503 -2.691264313004206]","{turtles 43084 43349}"
"30","29","105","333","-2.4641034","2.398784481","[-2.4641034002897046 2.3987844812053463 -3.929477444384542]","{turtles 41904 43330}"
"31","30","105","316","12.2948292","-0.67295792","[12.294829195353975 -0.6729579204908934 -9.407743261693566]","{turtles 43109 43285}"
"32","31","15","105","-1.508599356","2.124992899","[-1.5085993561811655 2.124992898795497 8.568062049276906]","{turtles 43165 43468}"
"33","32","15","359","0.849022484","-2.438148331","[0.8490224839315695 -2.438148331385286 1.263696696361544]","{turtles 42746 43415}"
"34","33","105","295","-15.44861979","3.525142813","[-15.448619791561034 3.525142813070195 0.09578682166291448]","{turtles 43283 43381}"
"35","34","15","327","-1.861859978","0.972890004","[-1.861859977535743 0.9728900041776136 5.152201500336432]","{turtles 43232 43437}"
"36","35","15","67","4.639736787","-7.88218353","[4.639736787404357 -7.882183530456382 -4.592799657197252]","{turtles 43186 43403}"
"37","36","15","333","-0.325347407","-8.428456241","[-0.3253474068070672 -8.428456241305923 4.6004219917287985]","{turtles 40980 43420}"
"38","37","15","348","2.846932844","3.462067035","[2.8469328437236614 3.4620670345579403 0.8400838427320354]","{turtles 42902 43473}"
"39","38","15","12","5.850133401","7.723322479","[5.850133401115943 7.723322479231043 -6.212909967117494]","{turtles 43249 43430}"
"40","39","105","154","9.933124291","-1.937513888","[9.933124291495435 -1.9375138879882206 -0.15102737877678601]","{turtles 43051 43312}"
"41","40","105","23","2.600515882","6.53152066","[2.6005158818094283 6.531520660443366 -8.13783734483578]","{turtles 43151 43304}"
"42","41","15","231","7.467323826","7.488942448","[7.467323826388642 7.488942448373747 0.46452901971950794]","{turtles 42112 43438}"
"43","42","105","126","-3.859457771","5.924369578","[-3.8594577708463236 5.924369577639083 -0.8887029178913065]","{turtles 41976 43303}"
"44","43","105","58","-3.928544353","6.4630563","[-3.9285443529144346 6.463056300328389 3.580735982372608]","{turtles 43064 43331}"
